,weekday,hour,taxi-cs_avg_trips,uber_avg_trips,lyft_avg_trips,total_trips,uber_prob
1,6.0,0,769,1458,323,2550,0.571764705882
2,6.0,1,645,1078,344,2067,0.52152878568
3,6.0,2,497,757,362,1616,0.468440594059
4,6.0,3,385,513,362,1260,0.407142857143
5,6.0,4,435,308,333,1076,0.28624535316
6,6.0,5,438,308,297,1043,0.295302013423
7,6.0,6,450,322,246,1018,0.316306483301
8,6.0,7,460,434,176,1070,0.405607476636
9,6.0,8,451,596,96,1143,0.521434820647
10,6.0,9,552,786,43,1381,0.569152787835
11,6.0,10,618,956,31,1605,0.595638629283
12,6.0,11,617,1109,38,1764,0.628684807256
13,6.0,12,618,1128,53,1799,0.627015008338
14,6.0,13,647,1254,75,1976,0.634615384615
15,6.0,14,737,1328,92,2157,0.615669911915
16,6.0,15,777,1431,123,2331,0.6138996139
17,6.0,16,758,1526,143,2427,0.628759785744
18,6.0,17,738,1504,160,2402,0.626144879267
19,6.0,18,694,1378,173,2245,0.613808463252
20,6.0,19,666,1256,202,2124,0.591337099812
21,6.0,20,689,1226,213,2128,0.576127819549
22,6.0,21,711,1120,226,2057,0.544482255712
23,6.0,22,688,942,245,1875,0.5024
24,6.0,23,638,599,250,1487,0.402824478816
25,0.0,0,475,326,239,1040,0.313461538462
26,0.0,1,322,192,238,752,0.255319148936
27,0.0,2,205,152,212,569,0.267135325132
28,0.0,3,188,307,181,676,0.454142011834
29,0.0,4,416,456,132,1004,0.454183266932
30,0.0,5,621,704,84,1409,0.499645138396
31,0.0,6,759,1032,50,1841,0.560564910375
32,0.0,7,910,1357,30,2297,0.590770570309
33,0.0,8,1006,1319,24,2349,0.561515538527
34,0.0,9,883,1033,22,1938,0.53302373581
35,0.0,10,732,957,38,1727,0.554140127389
36,0.0,11,664,965,62,1691,0.570668243643
37,0.0,12,671,961,95,1727,0.556456282571
38,0.0,13,701,1089,105,1895,0.574670184697
39,0.0,14,786,1253,99,2138,0.586061739944
40,0.0,15,797,1435,103,2335,0.614561027837
41,0.0,16,738,1675,107,2520,0.664682539683
42,0.0,17,696,1821,118,2635,0.691081593928
43,0.0,18,605,1715,125,2445,0.701431492843
44,0.0,19,581,1606,129,2316,0.693436960276
45,0.0,20,634,1554,154,2342,0.663535439795
46,0.0,21,642,1338,189,2169,0.616874135546
47,0.0,22,559,963,226,1748,0.550915331808
48,0.0,23,507,568,236,1311,0.433257055683
49,1.0,0,341,288,228,857,0.336056009335
50,1.0,1,235,164,213,612,0.267973856209
51,1.0,2,156,120,195,471,0.254777070064
52,1.0,3,142,209,166,517,0.404255319149
53,1.0,4,325,351,103,779,0.450577663671
54,1.0,5,460,657,71,1188,0.55303030303
55,1.0,6,651,1156,39,1846,0.626218851571
56,1.0,7,881,1559,26,2466,0.632197891322
57,1.0,8,1015,1528,21,2564,0.595943837754
58,1.0,9,912,1167,21,2100,0.555714285714
59,1.0,10,751,1093,48,1892,0.577695560254
60,1.0,11,679,1079,82,1840,0.586413043478
61,1.0,12,699,1081,123,1903,0.568050446663
62,1.0,13,733,1307,124,2164,0.603974121996
63,1.0,14,829,1530,99,2458,0.622457282343
64,1.0,15,818,1732,107,2657,0.651863003387
65,1.0,16,751,1982,118,2851,0.695194668537
66,1.0,17,733,2313,112,3158,0.732425585814
67,1.0,18,634,2227,123,2984,0.746313672922
68,1.0,19,614,2025,134,2773,0.730256040389
69,1.0,20,684,1961,158,2803,0.699607563325
70,1.0,21,685,1711,205,2601,0.657823913879
71,1.0,22,612,1235,261,2108,0.585863377609
72,1.0,23,520,656,280,1456,0.450549450549
73,2.0,0,341,378,271,990,0.381818181818
74,2.0,1,240,217,255,712,0.304775280899
75,2.0,2,171,157,210,538,0.291821561338
76,2.0,3,161,235,181,577,0.407279029463
77,2.0,4,322,363,127,812,0.447044334975
78,2.0,5,488,657,75,1220,0.538524590164
79,2.0,6,667,1174,46,1887,0.622151563328
80,2.0,7,887,1566,23,2476,0.632471728595
81,2.0,8,1051,1519,21,2591,0.586260131223
82,2.0,9,923,1181,22,2126,0.555503292568
83,2.0,10,767,1119,52,1938,0.577399380805
84,2.0,11,712,1128,86,1926,0.585669781931
85,2.0,12,734,1142,127,2003,0.570144782826
86,2.0,13,773,1286,137,2196,0.585610200364
87,2.0,14,812,1493,118,2423,0.616178291374
88,2.0,15,835,1811,110,2756,0.657111756168
89,2.0,16,806,2120,124,3050,0.695081967213
90,2.0,17,762,2345,122,3229,0.726231031279
91,2.0,18,672,2299,141,3112,0.738753213368
92,2.0,19,637,2103,150,2890,0.7276816609
93,2.0,20,713,2103,173,2989,0.703579792573
94,2.0,21,720,1948,230,2898,0.672187715666
95,2.0,22,668,1466,293,2427,0.604037906881
96,2.0,23,565,834,306,1705,0.489149560117
97,3.0,0,379,439,314,1132,0.387809187279
98,3.0,1,254,250,307,811,0.308261405672
99,3.0,2,167,178,286,631,0.282091917591
100,3.0,3,160,267,238,665,0.401503759398
101,3.0,4,345,403,170,918,0.438997821351
102,3.0,5,499,629,98,1226,0.513050570962
103,3.0,6,684,1112,69,1865,0.596246648794
104,3.0,7,871,1553,36,2460,0.631300813008
105,3.0,8,1007,1523,26,2556,0.595852895149
106,3.0,9,933,1250,28,2211,0.565355042967
107,3.0,10,801,1166,65,2032,0.573818897638
108,3.0,11,736,1196,104,2036,0.58742632613
109,3.0,12,757,1197,147,2101,0.569728700619
110,3.0,13,787,1349,150,2286,0.590113735783
111,3.0,14,874,1590,124,2588,0.614374034003
112,3.0,15,888,1883,122,2893,0.650881437954
113,3.0,16,843,2131,136,3110,0.685209003215
114,3.0,17,783,2337,139,3259,0.717091132249
115,3.0,18,710,2423,154,3287,0.737146334043
116,3.0,19,689,2332,169,3190,0.731034482759
117,3.0,20,731,2216,200,3147,0.70416269463
118,3.0,21,734,2164,259,3157,0.685460880583
119,3.0,22,700,1887,344,2931,0.643807574207
120,3.0,23,631,1281,372,2284,0.560858143608
121,4.0,0,432,655,331,1418,0.46191819464
122,4.0,1,284,395,336,1015,0.389162561576
123,4.0,2,209,261,328,798,0.327067669173
124,4.0,3,186,326,297,809,0.402966625464
125,4.0,4,369,411,225,1005,0.408955223881
126,4.0,5,516,631,146,1293,0.488012374323
127,4.0,6,688,983,84,1755,0.560113960114
128,4.0,7,849,1333,51,2233,0.596954769369
129,4.0,8,977,1355,34,2366,0.572696534235
130,4.0,9,895,1135,30,2060,0.550970873786
131,4.0,10,751,1099,52,1902,0.577812828601
132,4.0,11,700,1102,90,1892,0.58245243129
133,4.0,12,749,1120,129,1998,0.560560560561
134,4.0,13,812,1325,147,2284,0.580122591944
135,4.0,14,865,1545,119,2529,0.610913404508
136,4.0,15,870,1810,121,2801,0.646197786505
137,4.0,16,819,1972,126,2917,0.67603702434
138,4.0,17,788,2114,129,3031,0.697459584296
139,4.0,18,765,2191,151,3107,0.705181847441
140,4.0,19,748,2072,176,2996,0.691588785047
141,4.0,20,745,1874,210,2829,0.662424885118
142,4.0,21,749,2052,264,3065,0.669494290375
143,4.0,22,754,2107,328,3189,0.660708686108
144,4.0,23,744,1808,380,2932,0.616643929059
145,5.0,0,637,1321,388,2346,0.563086104007
146,5.0,1,520,931,379,1830,0.508743169399
147,5.0,2,390,626,416,1432,0.437150837989
148,5.0,3,332,464,417,1213,0.382522671063
149,5.0,4,429,334,352,1115,0.299551569507
150,5.0,5,452,342,297,1091,0.313473877177
151,5.0,6,490,415,234,1139,0.364354697103
152,5.0,7,522,533,158,1213,0.439406430338
153,5.0,8,572,692,85,1349,0.512972572276
154,5.0,9,611,837,46,1494,0.560240963855
155,5.0,10,592,980,39,1611,0.608317815022
156,5.0,11,575,1085,52,1712,0.633761682243
157,5.0,12,585,1149,76,1810,0.634806629834
158,5.0,13,625,1261,91,1977,0.637835103692
159,5.0,14,675,1500,117,2292,0.65445026178
160,5.0,15,721,1724,120,2565,0.672124756335
161,5.0,16,724,1835,142,2701,0.679378008145
162,5.0,17,710,1907,169,2786,0.684493898062
163,5.0,18,726,2034,201,2961,0.686930091185
164,5.0,19,754,1912,218,2884,0.662968099861
165,5.0,20,791,1802,257,2850,0.632280701754
166,5.0,21,808,1958,269,3035,0.645140032949
167,5.0,22,829,2078,295,3202,0.648969394129
168,5.0,23,865,1860,302,3027,0.614469772052
169,,0,2423,115,0,2538,0.0453112687155
